address,token_id
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690372849189781524
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690371749678153738
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690370650166525962
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690369550654898186
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690368451143270410
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690379446259548170
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690378346747920394
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690377247236292618
0x495f947276749ce646f68ac8c248420045cb7b5e,36696922899827381019620537961244436122481592204954453783694690376147724664842
0xB66a603f4cFe17e3D27B87a8BfCaD319856518B8,69539483873994065973318486475670700721998646276302770644328835689089249312785
0xd07dc4262bcdbf85190c01c996b4c06a461d2430,742343
0xd07dc4262bcdbf85190c01c996b4c06a461d2430,742337
